"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"C1503","Contamination of Environment by Device","Operation of the device results in contamination of the nearby environment e.g. dust, dirt, smoke, heat or biological material.","","","","C15|C1503",,,
"C1504","Environmental Pressure Problem Identified","Device performance was affected by the pressure, or changes in pressure, of the environment in which it was used.","","","","C15|C1504",,,
"C1505","Ambient Light Problem Identified","Device performance was affected by ambient light. This term applies to the direct effects of ambient light on the device, and to the user's ability to operate the device (e.g. to read device output).","","","","C15|C1505",,,
"C1506","Environmental Humidity Problem Identified","Device performance was affected by the humidity, or changes in humidity, of the environment in which it was used.","","","","C15|C1506",,,
"C16","Manufacturing Process Problem Identified","Problems with a device that can be traced to a problem in the manufacturing and/or production process.","","","","C16",,,
"C1601","Assembly Problem Identified","Problems that occurred because the device was assembled incorrectly.","","","","C16|C1601",,,
"C1602","Sterilization Problem Identified","Problems that occurred during terminal sterilization by the manufacturer.","","","","C16|C1602",,,
"C1603","Installation Problem Identified","A device that malfunctions because it was incorrectly installed, set-up, or configured (e.g. misconfiguration of an ""automatic"" defibrillator to ""semi-automatic"", thereby leading to failure).","","","","C16|C1603",,,
"C1604","Maintenance of Manufacturing Machinery","Problems caused by failure to maintain manufacturing equipment used to produce the device.","","","","C16|C1604",,,
"C1605","Packaging Problem Identified","Problems that occurred because of the device packaging.","","","","C16|C1605",,,
"C160501","Packaging Compromised","Problems that occurred because of a compromised packaging of the device (e.g. broken or incomplete seal).","","","","C16|C1605|C160501",,,
"C160502","Packaging Materials Problem","Problems that occurred because of the composition or type of packaging materials was inappropriate for the device.","","","","C16|C1605|C160502",,,
"C160503","Packaging Contains Unintended Material","Problems that occurred because unintended material was packaged with the device.","","","","C16|C1605|C160503",,,
"C160504","Packaging Contains Incorrect Device","Problems that occurred because the packaging contained an incorrect device.","","","","C16|C1605|C160504",,,
"C17","Maintenance Problem Identified","A device malfunction or problem that occurs after production because the device was not properly maintained according to the instructions (e.g. maintenance may be performed by user facility, distributor, or service provider).","","","","C17",,,
"C18","Transport/Storage Problem Identified","Problems was caused by transport or storage conditions.","","","","C18",,,
"C1801","Transport Problem Identified","Problems traced to how the device was transported e.g. temperature of shipping compartment or method of transportation.","","","","C18|C1801",,,
"C1802","Storage Problem Identified","Problems that result from storing the device in an uncontrolled or improper environment (e.g. moisture sensitive devices stored in a humid environment).","","","","C18|C1802",,,
"C19","No Device Problem Found","Reported problem cannot be reproduced during investigation.","","Modified (technical)","Definition of this term was clarified on 21 January 2021. For details, refer to comment No. 17 and 29 of the Change Log. (Old definition: ""The device either functioned as intended or a problem was not found."")","C19",,,
"C20","No Findings Available","Use when no investigation can be performed and therefore no results will be obtained.","","","","C20",,,
"C21","Results Pending Completion of Investigation","Investigation is ongoing and results are not yet available. Do not use this code if the investigation is complete.","","","","C21",,,
"C22","Appropriate Term/Code Not Available","Problems is not adequately described by any other term. Note: This code must not be used unless there is no other feasible code. The preferred term should be documented when submitting an adverse event report. This information will be used to determine if a new term should be added to the code table.","","","","C22",,,
"C23","Usage Problem Identified","Problems that occurred related to the actions of a healthcare professional, patient, or other device user.","","New","Term was added on 21 January 2021 for coding device usage problems. For details, refer to comment No. 32 of the Change Log.","C23",,,
"A01","Patient Device Interaction Problem","Problem related to the interaction between the patient and the device.","","","","A01",,,
"A0101","Patient-Device Incompatibility","Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.","","","","A01|A0101",,,
"A010101","Biocompatibility","Problem associated with undesirable local or systemic effects due to exposure to medical device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.","","","","A01|A0101|A010101",,,
"A010102","Device Appears to Trigger Rejection","The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device.","","","","A01|A0101|A010102",,,
"A010103","Inadequacy of Device Shape and/or Size","The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.","","","","A01|A0101|A010103",,,
"A0102","Osseointegration Problem","Problem associated with interconnection between the bone tissue and the implanted device.","","","","A01|A0102",,,
"A010201","Failure to Osseointegrate","Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.","","","","A01|A0102|A010201",,,
"A010202","Loss of Osseointegration","Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. Loosening/Lysis","","","","A01|A0102|A010202",,,
"A0103","Loosening of Implant Not Related to Bone-Ingrowth","Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.","","","","A01|A0103",,,
"A0104","Migration or Expulsion of Device","Problem with an implanted or invasive device moving within the body, or being completely expelled from the body.","","","","A01|A0104",,,
"A010401","Expulsion","Problem with all or part of an implanted or invasive device being completely expelled from its intended location within the body.","","","","A01|A0104|A010401",,,
"A010402","Migration","Problem with all or part of an implanted or invasive device moving from its intended location within the body.","","","","A01|A0104|A010402",,,
"A02","Manufacturing, Packaging or Shipping Problem","Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem).","","","","A02",,,
"A0201","Product Quality Problem","Problem associated with an inherent device characteristic that is not satisfactory as specified or delivered.","","","","A02|A0201",,,
"A020101","Dull, Blunt","Problem associated with a device not being as sharp as intended or expected.","","","","A02|A0201|A020101",,,
"A020102","Nonstandard Device","Problem associated with the device that does not meet the specifications or requirements for which it was manufactured (e.g. materials, parts, manufacturing process).","","","","A02|A0201|A020102",,,
"A0202","Defective Component","Problem associated with a device component having flaws of dimensional deviations greater than acceptable for the intended use.","","","","A02|A0202",,,
"A0203","Defective Device","Problem associated with having flaws or dimensional deviations greater than acceptable for the intended use of the device.","","","","A02|A0203",,,
"A0204","Device Damaged Prior to Use","Problem associated with packaging or shipping damage prior to the use of the device.","","","","A02|A0204",,,
"A0205","Packaging Problem","Problem associated with the materials used to construct the cover or outer wrapping of the device.","","","","A02|A0205",,,
"A020501","Difficult to Open or Remove Packaging Material","Problem associated with difficulty for users to operate the device, specifically as it relates to the opening or removal of the outer wrapping.","","","","A02|A0205|A020501",,,
"A020502","Incomplete or Missing Packaging","Problem associated with the nonconformance to the device specifications due to incomplete or missing packaging that may compromise the device operation as intended.","","","","A02|A0205|A020502",,,
"A020503","Unsealed Device Packaging","Problem associated with the loss of packaging seal.","","","","A02|A0205|A020503",,,
"A020504","Tear, Rip or Hole in Device Packaging","Problem associated with packaging damage (tear, rip or hole) prior to the use of the device.","","","","A02|A0205|A020504",,,
"A0206","Device Misassembled During Manufacturing /Shipping","A device found incorrectly assembled when delivered to the user facility.","","","","A02|A0206",,,
"A020601","Component Misassembled","A device found to have one or more components incorrectly assembled when delivered to the user facility.","","","","A02|A0206|A020601",,,
"A020602","Component Missing","A device component(s) found to be missing when delivered to the user facility.","","","","A02|A0206|A020602",,,
"A0207","Shipping Damage or Problem","Problem associated with shipping damage or problem prior to the use of the device.","","","","A02|A0207",,,
"A020701","Delivered as Unsterile Product","Problem associated with a device being received in such a manner to indicate that its sterility has been compromised (e.g. sterile packaging breached, visible contaminate present)","","","","A02|A0207|A020701",,,
"A03","Chemical Problem","Problem associated with any from the documented specifications of the device that relate to any chemical characterization, i.e., element, compound, or mixture.","","","","A03",,,
"A0301","Device Emits Odor","Problem associated with an unexpected or inappropriate smell released by the device.","","","","A03|A0301",,,
"A0302","Device Ingredient or Reagent Problem","Problem associated with any deviations from the documented specifications of the device that relate to any ingredient or reagent characterization.","","","","A03|A0302",,,
"A030201","Clumping in Device or Device Ingredient","Problem associated with the aggregation of particles into irregular masses.","","","","A03|A0302|A030201",,,
"A030202","Coagulation in Device or Device Ingredient","Problem associated with the undesired characterization of congealing, solidifying, thickening, curdling.","","","","A03|A0302|A030202",,,
"A030203","Precipitate in Device or Device Ingredient","Problem associated with the separation of solid particles from a liquid as the result of a chemical or physical change.","","","","A03|A0302|A030203",,,
"A030204","Cross Reactivity","Problem associated with the degree to which an antibody or antigen participates in cross reactions.","","","","A03|A0302|A030204",,,
"A030205","Particulates","Substances that consist of separate particles that are introduced by the device during use.","","","","A03|A0302|A030205",,,
"A030206","High pH","pH higher than expected and/or anticipated.","","","","A03|A0302|A030206",,,
"A030207","Low pH","pH lower than expected and/or anticipated.","","","","A03|A0302|A030207",,,
"A030208","Unexpected Color","Color of product is different from that expected.","","New","Term was added on 18 March 2020 as an additional level 3 term under ""Device Ingredient or Reagent Problem"".","A03|A0302|A030208",,,
"A0303","Improper Chemical Reaction","Problem associated with an unexpected or incomplete chemical reaction or effect.","","","","A03|A0303",,,
"A04","Material Integrity Problem","Problem associated with any deviations from the documented specifications of the device that relate to the limited durability of all material used to construct device.","","","","A04",,,
"A0401","Break","Problem associated with undesired damage or breakage of those materials used in the device construction.","","","","A04|A0401",,,
"A040101","Fracture","Problem associated with a partial or full-thickness crack in the device materials.","","","","A04|A0401|A040101",,,
"A040102","Loss of or Failure to Bond","Problem associated with lack or loss of adherence between materials intended to be joined together by an adhesive.","","","","A04|A0401|A040102",,,
"A040103","Material Fragmentation","Problem associated with small pieces of the device breaking off unexpectedly.","","","","A04|A0401|A040103",,,
"A040104","Solder Joint Fracture","Problem associated with undesired damage or breakage in a solder joint of materials used in the device construction.","","","","A04|A0401|A040104",,,
"A0402","Burst Container or Vessel","Problem associated with the pressure inside a vessel or container rising to such a degree that the container ruptures.","","","","A04|A0402",,,
"A0403","Explosion","Problem associated with the violent bursting due to the sudden expansion of air, gas or fluid.","","","","A04|A0403",,,
"A0404","Crack","Problem associated with an undesired partial separation and/or a visible opening along the length or width in the materials that are used in the device construction.","","","","A04|A0404",,,
"A0405","Degraded","Problem associated with a undesired change in the chemical structure, physical properties, or appearance in the materials that are used in the device construction.","","","","A04|A0405",,,
"A040501","Calcified","Problem associated with buildup of calcium salts on the device.","","","","A04|A0405|A040501",,,
"A040502","Corroded","Problem associated with the chemical or electrochemical reaction between materials, usually a metal and its environment that produces a deterioration of the metal and its properties.","","","","A04|A0405|A040502",,,
"A040503","Material Erosion","Problem associated with a progressive loss of a material from a solid surface.","","","","A04|A0405|A040503",,,
"A040504","Pitted","Problem associated with the corrosion of a material's surface, confined to a point or small area that takes the form of cavities.","","","","A04|A0405|A040504",,,
"A040505","Flaked","Problem associated with the detachment of small pieces of the coating film of a material.","","","","A04|A0405|A040505",,,
"A040506","Peeled/Delaminated","Peeling or delamination of composite materials, including coatings, that occurs when layers are separated as a result of stress or impact and resulting in loss of mechanical toughness.","","","","A04|A0405|A040506",,,
"A040507","Naturally Worn","Problem associated with material damage to a surface, usually involving progressive loss or displacement of material, due to relative motion between that surface and a contacting substance or substances.","","","","A04|A0405|A040507",,,
"A040508","Unraveled Material","Problem due to the undesired unravelling of material (e.g. disentangled, unwound etc.).","","","","A04|A0405|A040508",,,
"A0406","Material Deformation","Problem associated with an undesired material change in shape or property caused by external forces.","","","","A04|A0406",,,
"A040601","Deformation Due to Compressive Stress","Problem associated with an undesired bulge, bend, bow, kink, or wavy condition observed in the device material resulting from compressive stresses.","","","","A04|A0406|A040601",,,
"A040602","Dent in Material","Problem associated with a undesired change in shape, characterized by the presence of a slight hollow (dent) in the device surface.","","","","A04|A0406|A040602",,,
"A040603","Failure to Fold","Problem associated with an undesired material change in physical property, characterized by failure to fold.","","","","A04|A0406|A040603",,,
"A040604","Failure to Unfold or Unwrap","Problem associated with the comprising materials' deformation in that device fails to open its wrapping or open/extend in a certain manner i.e. balloon or lens.","","","","A04|A0406|A040604",,,
"A040605","Material Frayed","Problem associated with the comprising materials having damaged edges.","","","","A04|A0406|A040605",,,
"A040606","Material Invagination","Problem associated with an undesired material change in shape, characterized by the infolding of one part within another part of a structure.","","","","A04|A0406|A040606",,,
"A040607","Material Too Rigid or Stiff","Problem associated with an undesired material change in physical property, characterized by rigidity (it resists deformation in response to an applied force).","","","","A04|A0406|A040607",,,
"A040608","Material Too Soft/Flexible","Problem associated with any device material that results in the material's inability to maintain the desired shape or support function.","","","","A04|A0406|A040608",,,
"A040609","Material Twisted/Bent","Problem associated with deformations that lead to twisting or bending of the device.","","","","A04|A0406|A040609",,,
"A040610","Melted","Problem associated with a solid device being transformed into a molten or liquid state.","","","","A04|A0406|A040610",,,
"A040611","Stretched","Problem associated with an increase or elongation in a materials' dimension.","","","","A04|A0406|A040611",,,
"A040612","Thickening of Material","Device is thickened due to deformation. Note: Not to be used for thickening of liquid.","","New","Term was added on 18 March 2020 as an additional level 3 term under ""Material Deformation"".","A04|A0406|A040612",,,
"A0407","Material Discolored","Problem associated with an undesired streak, pattern and/or a noticeable change in color from the rest of the materials used in the device construction.","","","","A04|A0407",,,
"A0408","Material Disintegration","Problem associated with material breaking into small particles.","","","","A04|A0408",,,
"A0409","Material Opacification","Problem associated with an undesirable opaqueness or cloudiness.","","","","A04|A0409",,,
"A0410","Material Perforation","Material constituting device is perforated possibly compromising the device's intended purpose.","","","","A04|A0410",,,
"A041001","Material Puncture/Hole","Device material(s) punctured leading to undesired holes/openings.","","","","A04|A0410|A041001",,,
"A0411","Material Protrusion/Extrusion","Problem associated with undesired physical appearance of device material, specifically when material extends beyond or above device surface.","","","","A04|A0411",,,
"A0412","Material Rupture","Problem associated with perforations that lead to bursting of the device.","","","","A04|A0412",,,
"A0413","Material Separation","Problem associated with an undesired disassociation or breaking apart of the device.","","","","A04|A0413",,,
"A0414","Material Split, Cut or Torn","Problem associated with materials consisting the device are split, cut or torn due to external forces (e.g. wrenching or laceration) or internal forces (e.g. exceeding the tensile stress limits belonging to the materials used in the device construction).","","","","A04|A0414",,,
"A0415","Scratched Material","Problem associated with an undesirable shallow cut or narrow groove in the surface of the device materials.","","","","A04|A0415",,,
"A05","Mechanical Problem","Problems associated with mechanical actions or defects, including moving parts or subassemblies, etc.","","","","A05",,,
"A0501","Detachment of Device or Device Component","Problem associated with the separation of the device from its physical construct, integrity, or chassis.","","","","A05|A0501",,,
"A0502","Device Damaged by Another Device","Problem associated with one device causing harm to another device.","","","","A05|A0502",,,
"A0503","Ejection Problem","Problems associated with the inability or unexpected ejection or discharge of the device from its physical location.","","Modified (editorial)","Editorial change to the definition on 18 March 2020.","A05|A0503",,,
"A050301","Failure to Eject","Problem associated with the inability of the device to be ejected or discharged from its physical location.","","Modified (editorial)","Editorial change to the definition on 18 March 2020.","A05|A0503|A050301",,,
"A050302","Unintended Ejection","Problem associated with unexpected ejection of the device from its physical location. This includes but is not limited to devices such as clip appliers, film cartridge, and staples.","","Modified (editorial)","Editorial change to the definition on 18 March 2020.","A05|A0503|A050302",,,
"A0504","Leak/Splash","Problem associated with the escape of a liquid, gas or radiation from the vessel or container in which it is housed.","","Modified (technical)","Technical change to the definition on 18 March 2020 to include escape of radiation.","A05|A0504",,,
"A050401","Fluid Leak","Escape (Release, Discharge) of fluid through an unintended location - often accompanied by a loss of pressure and/or output.","","","","A05|A0504|A050401",,,
"A050402","Gas Leak","Problem associated with the unintended escape of a gas from the container in which it is housed.","","","","A05|A0504|A050402",,,
"A050403","Gel Leak","Escape (Release, Discharge) of gel through an unintended location - as in leakage of ultrasound gel. Escape or release of gel from containment structures - as in gel filled implant leak.","","","","A05|A0504|A050403",,,
"A050404","Radiation Leak","Escape of radiation (energy in the form of waves or subatomic particles, especially those that cause ionization) through containment structures, leading to unintended exposure.","","","","A05|A0504|A050404",,,
"A050405","Perivalvular Leak","Problem associated with the escape of blood around a heart valve, particularly around its leaflets.","","","","A05|A0504|A050405",,,
"A0505","Firing Problem","Problem associated with the device not discharging as intended.","","","","A05|A0505",,,
"A050501","Failure to Fire","Problem associated with failure of the device to discharge its load (e.g. surgical stapler failed to partially or completely deploy its staples).","","","","A05|A0505|A050501",,,
"A050502","Misfire","Problem associated with a therapy or algorithm not being delivered or executed at the expected time.","","","","A05|A0505|A050502",,,
"A0506","Mechanical Jam","The motion of the device is prevented or restricted.","","","","A05|A0506",,,
"A0507","Mechanics Altered","Problem associated with a device mechanical functioning of machinery, moving parts or tools of device being changed or modified.","","","","A05|A0507",,,
"A050701","Failure to Align","Problem associated with a circuit, equipment, or system whereby its functions fail to be properly synchronized or its relative positions properly oriented.","","","","A05|A0507|A050701",,,
"A050702","Failure to Cut","Inability of the device to make an incision, pierce or open as intended.","","","","A05|A0507|A050702",,,
"A050703","Failure to Cycle","Problem associated with the device failing to complete a series of processes or events.","","","","A05|A0507|A050703",,,
"A050704","Failure to Form Staple","Problem associated with the device failing to connect tissue with a stapling device due to the staples not forming correctly.","","","","A05|A0507|A050704",,,
"A0508","Noise, Audible","Problem associated with any unintended sound which emanates from the device (for example, squeaking from two parts rubbing together or buzzing sounds from electrical components).","","","","A05|A0508",,,
"A0509","Physical Resistance/Sticking","Problem associated with the lack of movement in the device due parts sticking or seizing.","","","","A05|A0509",,,
"A0510","Retraction Problem","Problem associated with drawing back the device to an intended location.","","","","A05|A0510",,,
"A0511","Structural Problem","Problem associated with the basic physical construction or physical make up of the device.","","","","A05|A0511",,,
"A051101","Collapse","Problem associated with the buckling or crushing of material from external forces.","","","","A05|A0511|A051101",,,
"A051102","Sharp Edges","The device has undesirable sharp edges which can cause harm or damage.","","","","A05|A0511|A051102",,,
"A051103","Difficult to Fold, Unfold or Collapse","Problem associated with the use of the device in terms of user experiencing difficulty to close or to spread out/extend length of the device, even if the operation is being performed according to labeled instructions for use.","","Modified (technical)","Technical change to the term on 18 March 2020 to include difficulty in collapsing.","A05|A0511|A051103",,,
"A051104","Difficult to Open or Close","Problem associated with the use of the device in terms of user experiencing difficulty opening and closing the device, even if the operation is being performed according to labeled instructions for use.","","","","A05|A0511|A051104",,,
"A051105","Incomplete Coaptation","Problem associated with the heart valve leaflet not closing properly.","","","","A05|A0511|A051105",,,
"A0512","Unintended Movement","Problem associated with an undesired movement of the device, which may be related to the device malfunction, misdiagnosis, or mistreatment.","","","","A05|A0512",,,
"A051201","Device Dislodged or Dislocated","Problems associated with the device not remaining in an expected location.","","","","A05|A0512|A051201",,,
"A051202","Device Tipped Over","Problem associated with the inability of the device to stay in an upright position.","","","","A05|A0512|A051202",,,
"A051203","Device Fell","Problem associated with the device or a component unexpectedly being dropped or moving down from an intended place.","","","","A05|A0512|A051203",,,
"A051204","Device Slipped","Problem associated with the device moving or sliding from the intended position.","","","","A05|A0512|A051204",,,
"A051205","Unintended Collision","Problem associated with the device impacting with another object.","","","","A05|A0512|A051205",,,
"A051206","Unintended System Motion","Problem associated with any motion of the system or components that was not initiated by the user.","","","","A05|A0512|A051206",,,
"A051207","Unstable","Problem associated with the mechanical stability of the device.","","","","A05|A0512|A051207",,,
"A051208","Vibration","Problem associated with the undesirable mechanical oscillation.","","","","A05|A0512|A051208",,,
"A0513","Inadequate Lubrication","The device shows inadequate lubrication.","","New","Term was added on 18 March 2020 as an additional level 2 term under ""Mechanical Problem.","A05|A0513",,,
"A06","Optical Problem","Problem associated with transmission of visible light affecting the quality of the image transmitted or otherwise affecting the intended application of the visible light path.","","","","A06",,,
"A0601","Misfocusing","The problem relates to the poor focusing of the object or the focus is on the wrong object or in the wrong area.","","","","A06|A0601",,,
"A0602","Optical Decentration","Problem associated with being off-center of optical lenses.","","","","A06|A0602",,,
"A0603","Optical Discoloration","Problem associated with an undesired change of color.","","","","A06|A0603",,,
"A0604","Optical Distortion","Problem associated with an optical defect in an image-forming system whereby the image is not the shape of an ideal image of the object.","","","","A06|A0604",,,
"A0605","Optical Obstruction","Problem associated with the blocking of optical devices, e.g. visual pathways.","","","","A06|A0605",,,
"A07","Electrical /Electronic Property Problem","Problem associated with a failure of the electrical circuitry of the device.","","","","A07",,,
"A0701","Capturing Problem","Problem associated with the inability of the device to achieve successful depolarization and contraction of a cardiac chamber caused by a pacemaker output pulse.","","","","A07|A0701",,,
"A070101","Failure to Capture","Problem associated with the failure to achieve effective and consistent depolarization of the heart resulting from the electrical stimulus of the pacemaker.","","","","A07|A0701|A070101",,,
"A070102","High Capture Threshold","Problem with the amount of output energy needed to cause cardiac depolarization being higher than expected/desired.","","","","A07|A0701|A070102",,,
"A070103","Intermittent Capture","Problem associated with the ineffective and inconsistent depolarization of the heart.","","","","A07|A0701|A070103",,,
"A070104","Unstable Capture Threshold","Problem with the amount of output energy needed to cause cardiac depolarization being unstable.","","","","A07|A0701|A070104",,,
"A0702","Continuous Firing","Problem associated with the excessive production of electrical impulses over a period.","","","","A07|A0702",,,
"A0703","Arcing","Problem associated with electrical current flowing through a gap between two conductive surfaces, typically resulting in a visible flash of light.","","","","A07|A0703",,,
"A070301","Arcing at Paddles","Problem associated with electrical current flowing through a gap between paddles (conductive surfaces), typically resulting in a visible flash of light.","","","","A07|A0703|A070301",,,
"A070302","Arcing of Electrodes","Problem associated with electrical current flowing through a gap between electrodes (conductive surfaces), typically resulting in a visible flash of light.","","","","A07|A0703|A070302",,,
"A0704","Sparking","Problem associated with a flash of light related to an electrical discharge into a normally non conductive medium, such as air. Not associated with a discharge between two conductive surfaces.","","","","A07|A0704",,,
"A0705","Battery Problem","Problem associated with the internal power of the device (e.g. battery, transformer, fuel cell or other power sources).","","","","A07|A0705",,,
"A070501","Battery Problem: High Impedance","Problem related to increased battery internal impedance.","","","","A07|A0705|A070501",,,
"A070502","Battery Problem: Low Impedance","Problem related to decreased battery internal impedance.","","","","A07|A0705|A070502",,,
"A070503","Failure to Run on Battery","Problem associated with the device failing to operate when not connected to a fixed power source.","","","","A07|A0705|A070503",,,
"A070504","Premature Discharge of Battery","Battery discharging earlier than expected.","","","","A07|A0705|A070504",,,
"A0706","Charging Problem","Problem associated with the inability of the device to successfully charge an electrical source.","","","","A07|A0706",,,
"A070601","Aborted Charge","Problem associated with the premature ending of the charging process (e.g. of a battery or other charge storage device).","","","","A07|A0706|A070601",,,
"A070602","Delayed Charge Time","Problem associated with an unexpected amount of time required to charge the device (e.g. a delay in starting charging or a longer than expected charge time).","","","","A07|A0706|A070602",,,
"A070603","Failure to Charge","Problem associated with inability to initiate the appropriate charging process (e.g. of a battery or other charge storage device)","","","","A07|A0706|A070603",,,
"A0707","Failure to Discharge","Problem associated with the failure of a battery or other charge storage device to appropriately discharge as intended. Does not apply to defibrillation.","","","","A07|A0707",,,
"A0708","Power Problem","Problem associated with the energy to operate the device.","","","","A07|A0708",,,
"A070801","Complete Loss of Power","Problem associated with the lack of power to run the device.","","","","A07|A0708|A070801",,,
"A070802","Intermittent Loss of Power","Problem associated with an intermittent disruption to the power to run the device.","","","","A07|A0708|A070802",,,
"A070803","Failure to Power Up","Problem associated with the inability of the device to turn on related to energy delivered to the device.","","","","A07|A0708|A070803",,,
"A070804","Unintended Power Up","Problem associated with the device turning on when not intended.","","","","A07|A0708|A070804",,,
"A0709","Device Sensing Problem","Problem associated with the device feature that are designed to respond to a physical stimulus (temperature, illumination, motion, cardiac rhythms) and that do not transmit a resulting signal for interpretation or measurement.","","","","A07|A0709",,,
"A070901","Decreased Sensitivity","Problem with the device being less sensitive to an input than intended or expected.","","","","A07|A0709|A070901",,,
"A070902","Increased Sensitivity","Problem with the device being more sensitive to an input than intended or expected.","","","","A07|A0709|A070902",,,
"A070903","Failure to Analyze Signal","Problem with the device not analyzing a signal.","","","","A07|A0709|A070903",,,
"A070904","Failure to Select Signal","Problem associated with the failure of the device to select the appropriate input signal.","","","","A07|A0709|A070904",,,
"A070905","High Sensing Threshold","Problem associated with the amount of input required by the device to detect a signal being higher than expected/desired.","","","","A07|A0709|A070905",,,
"A070906","Low Sensing Threshold","Problem associated with the amount of an input required by the device to detect a signal being lower than expected/desired.","","","","A07|A0709|A070906",,,
"A070907","Loss of Threshold","Problem associated with the loss of the minimum amount of energy, voltage, or current needed to consistently stimulate the heart muscle.","","","","A07|A0709|A070907",,,
"A070908","Failure to Sense","Problem associated with the failure of the device designed to respond to a physical stimulus (as temperature, illumination, motion) to transmit a resulting signal for interpretation or measurement.","","","","A07|A0709|A070908",,,
"A070909","Over-Sensing","Problem related to failure of the device to properly filter cardiac signals resulting in inappropriate device response.","","","","A07|A0709|A070909",,,
"A070910","Under-Sensing","Problem related to failure of the device to properly detect intrinsic cardiac activity and respond appropriately.","","","","A07|A0709|A070910",,,
"A070911","Sensing Intermittently","Problem with the device receiving an incoming signal on an intermittent basis when expected to be continuous.","","","","A07|A0709|A070911",,,
"A070912","Incorrect Interpretation of Signal","Problem with the device inappropriately analyzing a signal.","","","","A07|A0709|A070912",,,
"A0710","Failure to Conduct","Problem associated with the inability of the device to allow a current of electricity to pass or to conduct electricity continuously along an electrical path.","","","","A07|A0710",,,
"A0711","Interrogation Problem","Problems associated with the device's ability to respond to signals from a system designed to interrogate its status.","","","","A07|A0711",,,
"A071101","Difficult to Interrogate","Problem associated with difficulty of a transponder system to trigger a response.","","","","A07|A0711|A071101",,,
"A071102","Failure to Interrogate","Problem associated with the device failure to appropriately respond to signals from a system designed to interrogate its status.","","","","A07|A0711|A071102",,,
"A0712","Pacing Problem","Problem associated with the inability of the device to generate a therapeutic simulated heart beat via electrical impulses.","","","","A07|A0712",,,
"A071201","Failure to Convert Rhythm","Failure of the device therapy or set of therapies to terminate the harmful cardiac rhythm that the therapy is meant to terminate.","","","","A07|A0712|A071201",,,
"A071202","Inaccurate Synchronization","Problem associated with an error due to imperfect timing of two operations, e.g. signal transmission time.","","","","A07|A0712|A071202",,,
"A071203","Inappropriate Waveform","Failure of the device to generate a correctly-shaped pacing output, e.g., a waveform that is too wide.","","","","A07|A0712|A071203",,,
"A071204","No Pacing","Problem associated with the device ceasing to deliver paces.","","","","A07|A0712|A071204",,,
"A071205","Pacemaker Found in Back-Up Mode","A device with a pacing function found in back-up Mode. This may be an appropriate fail-safe action (e.g. end of battery life), or be caused by device malfunction or due to operator error.","","","","A07|A0712|A071205",,,
"A071206","Pacing Asynchronously","Problem associated with a pacing transmission process such that between any two significant instants in the same group, there is always an integral number of unit intervals. Between two significant instants located in different groups, there are not always an integral number of unit intervals.","","","","A07|A0712|A071206",,,
"A071207","Pacing Inadequately","Pacing voltage or pulse width is less than desired.","","","","A07|A0712|A071207",,,
"A071208","Pacing Intermittently","Problem associated with the failure of pacing device for a limited period of time, following which the item recovers its ability to perform its required function without being subjected to any external corrective action. Note: such as failure is often recurrent.","","","","A07|A0712|A071208",,,
"A071209","Pocket Stimulation","Problem associated with a pocket of skin in which the pulse generator is housed.","","","","A07|A0712|A071209",,,
"A0713","Defibrillation/Stimulation Problem","Problem associated with the delivery of electrical shock/stimulation by a device intended to deliver shocks/stimulation.","","Modified (technical)","Technical change to the term and definition on 18 March 2020 to include stimulation and to differentiate this term with ""Unintended Electrical Shock"" (A0714).","A07|A0713",,,
"A071301","Failure to Deliver Shock/Stimulation","Problem associated with the failure of the device to deliver electrical energy.","","Modified (technical)","Technical change to the term on 18 March 2020 to include stimulation.","A07|A0713|A071301",,,
"A071302","Inappropriate/Inadequate Shock/Stimulation","A shock was delivered with incorrect energy level or at incorrect timing.","","Modified (technical)","Technical change to the term and definition on 18 March 2020 to include inadequate stimulation.","A07|A0713|A071302",,,
"A071303","Intermittent Shock/Stimulation","Problem associated with the failure to deliver electrical energy for a limited period of time, following which the item recovers its ability to perform its required function without being subjected to any external corrective action. Note: such a failure is often recurrent.","","Modified (technical)","Technical change to the term and definition on 18 March 2020 to include stimulation.","A07|A0713|A071303",,,
"A0714","Unintended Electrical Shock","The device delivers unintended electrical shock. Use this term for devices that are not intended to deliver shocks/stimulation.","","Modified (technical)","Technical change to the definition on 18 March 2020 to differentiate this term with ""Defibrillation/Stimulation Problem"" (A0713) and lower level terms.","A07|A0714",,,
"A0715","Grounding Malfunction","Problem associated with the inability to connect conductors of an electronic system for the purpose of controlling or impeding ground currents and voltages.","","","","A07|A0715",,,
